,TOWN,TOWNNO,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
178,Arlington,29,3567,-77.09879837142857,38.872312557142855,29.9,29.9,0.06642,0.0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92
177,Arlington,29,3566,-77.09729837142856,38.875712557142855,24.6,24.6,0.05425,0.0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29
176,Arlington,29,3565,-77.09509837142856,38.87821255714286,23.2,23.2,0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11
175,Arlington,29,3564,-77.10579837142856,38.88821255714286,29.4,29.4,0.06664,0.0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33
174,Arlington,29,3563,-77.12429837142857,38.88571255714286,22.6,22.6,0.08447,0.0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64
173,Arlington,29,3562,-77.11779837142856,38.881912557142854,23.6,23.6,0.09178,0.0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04
172,Arlington,29,3561,-77.10829837142857,38.87771255714286,23.1,23.1,0.13914,0.0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69
254,Ashland,43,3851,-122.7197267,42.1992258,21.9,21.9,0.04819,80.0,3.64,0,0.392,6.108,32.0,9.2203,1,315,16.4,392.89,6.57
255,Ashland,43,3852,-122.6992267,42.189925800000005,20.9,20.9,0.03548,80.0,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25
193,Bedford,32,3591,-71.27060889999998,42.4891231,31.1,31.1,0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03
194,Bedford,32,3593,-71.28140889999999,42.4921231,29.1,29.1,0.01439,60.0,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38
185,Belmont,30,3577,-122.27028829999999,37.5270895,29.6,29.6,0.06047,0.0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15
184,Belmont,30,3576,-122.2697883,37.5207895,26.4,26.4,0.08308,0.0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,391.0,13.98
186,Belmont,30,3578,-122.26688829999999,37.5144895,50.0,50.0,0.05602,0.0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45
179,Belmont,30,3571,-122.27078829999999,37.514989500000006,37.2,37.2,0.0578,0.0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,396.9,5.04
183,Belmont,30,3575,-122.27678829999999,37.5162895,32.5,32.5,0.10008,0.0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68
182,Belmont,30,3574,-122.28228829999999,37.5162895,37.9,37.9,0.09103,0.0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82
181,Belmont,30,3573,-122.2877883,37.5212895,36.2,36.2,0.06888,0.0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45
180,Belmont,30,3572,-122.2817883,37.5304895,39.8,39.8,0.06588,0.0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56
60,Beverly,13,2173,-70.89063233333334,42.56884496666667,18.7,18.7,0.14932,25.0,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15
61,Beverly,13,2174,-70.89213233333334,42.55484496666667,16.0,16.0,0.17171,25.0,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44
62,Beverly,13,2175,-70.88213233333335,42.559844966666674,22.2,22.2,0.11027,25.0,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73
63,Beverly,13,2176,-70.88213233333335,42.55034496666667,25.0,25.0,0.1265,25.0,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5
59,Beverly,13,2172,-70.87363233333333,42.55484496666667,19.6,19.6,0.10328,25.0,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22
58,Beverly,13,2171,-70.85963233333334,42.56184496666667,23.3,23.3,0.15445,25.0,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86
358,Boston Allston-Brighton,74,3,-71.12718619999998,42.360791299999995,22.7,22.7,5.20177,0.0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48
359,Boston Allston-Brighton,74,4,-71.13918619999998,42.3555913,22.6,22.6,4.26131,0.0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,390.74,12.67
360,Boston Allston-Brighton,74,5,-71.14488619999999,42.3535913,25.0,25.0,4.54192,0.0,18.1,0,0.77,6.398,88.0,2.5182,24,666,20.2,374.56,7.79
357,Boston Allston-Brighton,74,2,-71.13718619999999,42.3505913,21.7,21.7,3.8497,0.0,18.1,1,0.77,6.395,91.0,2.5052,24,666,20.2,391.34,13.27
356,Boston Allston-Brighton,74,1,-71.13468619999999,42.346891299999996,17.8,17.8,8.98296,0.0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6
362,Boston Allston-Brighton,74,7,-71.13068619999999,42.3535913,20.8,20.8,3.67822,0.0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19
363,Boston Allston-Brighton,74,8,-71.12518619999999,42.351591299999995,16.8,16.8,4.22239,0.0,18.1,1,0.77,5.803,89.0,1.9047,24,666,20.2,353.04,14.64
361,Boston Allston-Brighton,74,6,-71.13068619999999,42.3585913,19.9,19.9,3.83684,0.0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19
365,Boston Back Bay,75,102,-71.0864757,42.35131480000001,27.5,27.5,4.55587,0.0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12
368,Boston Back Bay,75,107,-71.0869757,42.34901480000001,50.0,50.0,4.89822,0.0,18.1,0,0.631,4.97,100.0,1.3325,24,666,20.2,375.52,3.26
369,Boston Back Bay,75,108,-71.0814757,42.34671480000001,50.0,50.0,5.66998,0.0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,375.33,3.73
366,Boston Back Bay,75,104,-71.07827569999999,42.34851480000001,21.9,21.9,3.69695,0.0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,316.03,14.0
367,Boston Back Bay,75,105,-71.0754757,42.35201480000001,23.1,23.1,13.5222,0.0,18.1,0,0.631,3.863,100.0,1.5106,24,666,20.2,131.42,13.33
364,Boston Back Bay,75,101,-71.0771757,42.35401480000001,21.9,21.9,3.47428,0.0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29
370,Boston Beacon Hill,76,201,-71.07173889999999,42.356999900000005,50.0,50.0,6.53876,0.0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96
372,Boston Beacon Hill,76,203,-71.0712389,42.35859990000001,50.0,50.0,8.26725,0.0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,347.88,8.88
371,Boston Beacon Hill,76,202,-71.06923889999999,42.36079990000001,50.0,50.0,9.2323,0.0,18.1,0,0.631,6.216,100.0,1.1691,24,666,20.2,366.15,9.53
380,Boston Charlestown,78,406,-71.05779643333332,42.375739833333334,10.4,10.4,88.9762,0.0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,396.9,17.21
379,Boston Charlestown,78,405,-71.05509643333333,42.37773983333334,10.2,10.2,17.8667,0.0,18.1,0,0.671,6.223,100.0,1.3861,24,666,20.2,393.74,21.78
