,Unnamed: 0,TOWN,TOWNNO,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,Clusters
0,178,Arlington,29,3567,-77.09879837142857,38.872312557142855,29.9,29.9,0.06642,0.0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92,0
1,177,Arlington,29,3566,-77.09729837142856,38.875712557142855,24.6,24.6,0.05425,0.0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29,0
2,176,Arlington,29,3565,-77.09509837142856,38.87821255714286,23.2,23.2,0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11,0
3,175,Arlington,29,3564,-77.10579837142856,38.88821255714286,29.4,29.4,0.06663999999999999,0.0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33,0
4,174,Arlington,29,3563,-77.12429837142857,38.88571255714286,22.6,22.6,0.08447,0.0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64,0
5,173,Arlington,29,3562,-77.11779837142856,38.881912557142854,23.6,23.6,0.09178,0.0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04,2
6,172,Arlington,29,3561,-77.10829837142856,38.87771255714286,23.1,23.1,0.13914,0.0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69,2
7,254,Ashland,43,3851,-122.7197267,42.1992258,21.9,21.9,0.04819,80.0,3.64,0,0.392,6.108,32.0,9.2203,1,315,16.4,392.89,6.57,0
8,255,Ashland,43,3852,-122.6992267,42.18992580000001,20.9,20.9,0.035480000000000005,80.0,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25,0
9,193,Bedford,32,3591,-71.27060889999998,42.4891231,31.1,31.1,0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03,0
10,194,Bedford,32,3593,-71.28140889999997,42.4921231,29.1,29.1,0.01439,60.0,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38,0
11,185,Belmont,30,3577,-122.2702883,37.5270895,29.6,29.6,0.06047,0.0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15,0
12,184,Belmont,30,3576,-122.26978829999999,37.5207895,26.4,26.4,0.08308,0.0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,391.0,13.98,2
13,186,Belmont,30,3578,-122.2668883,37.5144895,50.0,50.0,0.05602000000000001,0.0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45,0
14,179,Belmont,30,3571,-122.2707883,37.51498950000001,37.2,37.2,0.0578,0.0,2.46,0,0.488,6.98,58.4,2.8289999999999997,3,193,17.8,396.9,5.04,0
15,183,Belmont,30,3575,-122.2767883,37.5162895,32.5,32.5,0.10008,0.0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68,0
